Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
CED,Derbyshire,Less lethal weapons,CED,White,131.0
"AEP, of which",Derbyshire,Less lethal weapons,Total: AEP,White,12.0
AEP aimed,Derbyshire,Less lethal weapons,AEP: Aimed,White,12.0
AEP fired,Derbyshire,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Derbyshire,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Derbyshire,Firearms,Total: Firearms,White,28.0
*Total Other,Derbyshire,Other,Total: Other,White,182.0
"Dog use, of which",Derbyshire,Other,Total: Dog,White,11.0
Dog deployed,Derbyshire,Other,Dog: deployed,White,8.0
Dog bite,Derbyshire,Other,Dog: bite,White,3.0
Not stated dog,Derbyshire,Other,Dog: not stated,White,0.0
Other / improvised,Derbyshire,Other,Other / improvised,White,171.0
*Total Not reported,Derbyshire,Not reported,Total: Not reported,White,8.0
Tactical communication,Derbyshire,Excluded: Tactical Communication,Tactical Communication,White,2178.0
*Total Tactics,Devon & Cornwall ,Total,Total: all,White,10828.0
*Total Restraint,Devon & Cornwall ,Restraint,Total: Restraint,White,6137.0
"Handcuffing, of which",Devon & Cornwall ,Restraint,Total: Handcuffing,White,5230.0
Compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: compliant,White,2301.0
Non-compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: non-compliant,White,2929.0
Not stated handcuffing,Devon & Cornwall ,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Devon & Cornwall ,Restraint,Limb / body restraints,White,147.0
Ground restraint,Devon & Cornwall ,Restraint,Ground restraint,White,760.0
*Total Unarmed skills,Devon & Cornwall ,Unarmed skills,Total: unarmed skills,White,3546.0
*Total Other equipment,Devon & Cornwall ,Other equipment,Total: Other equipment,White,261.0
"Baton, of which",Devon & Cornwall ,Other equipment,Total: Baton,White,27.0
Baton drawn,Devon & Cornwall ,Other equipment,Baton: drawn,White,4.0
Baton used,Devon & Cornwall ,Other equipment,Baton: used,White,1.0
Not stated baton,Devon & Cornwall ,Other equipment,Baton: not stated,White,22.0
"Irritant spray, of which",Devon & Cornwall ,Other equipment,Total: Irritant spray,White,185.0
Irritant spray - drawn,Devon & Cornwall ,Other equipment,Irritant spray: drawn,White,161.0
Irritant spray - used,Devon & Cornwall ,Other equipment,Irritant spray: used,White,24.0
Not stated irritant spray,Devon & Cornwall ,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Devon & Cornwall ,Other equipment,Spit and bite guard,White,15.0
Shield,Devon & Cornwall ,Other equipment,Shield,White,34.0
*Total Less lethal weapons,Devon & Cornwall ,Less lethal weapons,Total: Less lethal weapons,White,669.0
CED,Devon & Cornwall ,Less lethal weapons,CED,White,644.0
"AEP, of which",Devon & Cornwall ,Less lethal weapons,Total: AEP,White,25.0
AEP aimed,Devon & Cornwall ,Less lethal weapons,AEP: Aimed,White,2.0
AEP fired,Devon & Cornwall ,Less lethal weapons,AEP: Fired,White,0.0
