Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
Compliant handcuffing,Total England and Wales,Restraint,Handcuffing: compliant,Black (or Black British),31193.0
Non-compliant handcuffing,Total England and Wales,Restraint,Handcuffing: non-compliant,Black (or Black British),17506.0
Not stated handcuffing,Total England and Wales,Restraint,Handcuffing: not stated,Black (or Black British),496.0
Limb / Body restraints,Total England and Wales,Restraint,Limb / body restraints,Black (or Black British),4056.0
Ground restraint,Total England and Wales,Restraint,Ground restraint,Black (or Black British),9357.0
*Total Unarmed skills,Total England and Wales,Unarmed skills,Total: unarmed skills,Black (or Black British),18802.0
*Total Other equipment,Total England and Wales,Other equipment,Total: Other equipment,Black (or Black British),3869.0
"Baton, of which",Total England and Wales,Other equipment,Total: Baton,Black (or Black British),1335.0
Baton drawn,Total England and Wales,Other equipment,Baton: drawn,Black (or Black British),921.0
Baton used,Total England and Wales,Other equipment,Baton: used,Black (or Black British),396.0
Not stated baton,Total England and Wales,Other equipment,Baton: not stated,Black (or Black British),18.0
"Irritant spray, of which",Total England and Wales,Other equipment,Total: Irritant spray,Black (or Black British),1882.0
Irritant spray - drawn,Total England and Wales,Other equipment,Irritant spray: drawn,Black (or Black British),890.0
Irritant spray - used,Total England and Wales,Other equipment,Irritant spray: used,Black (or Black British),974.0
Not stated irritant spray,Total England and Wales,Other equipment,Irritant spray: not stated,Black (or Black British),18.0
Spit and bite guard,Total England and Wales,Other equipment,Spit and bite guard,Black (or Black British),529.0
Shield,Total England and Wales,Other equipment,Shield,Black (or Black British),123.0
*Total Less lethal weapons,Total England and Wales,Less lethal weapons,Total: Less lethal weapons,Black (or Black British),4456.0
CED,Total England and Wales,Less lethal weapons,CED,Black (or Black British),4381.0
"AEP, of which",Total England and Wales,Less lethal weapons,Total: AEP,Black (or Black British),75.0
AEP aimed,Total England and Wales,Less lethal weapons,AEP: Aimed,Black (or Black British),65.0
AEP fired,Total England and Wales,Less lethal weapons,AEP: Fired,Black (or Black British),5.0
Not stated AEP,Total England and Wales,Less lethal weapons,AEP: Not stated,Black (or Black British),5.0
*Total Firearms,Total England and Wales,Firearms,Total: Firearms,Black (or Black British),1130.0
*Total Other,Total England and Wales,Other,Total: Other,Black (or Black British),3357.0
"Dog use, of which",Total England and Wales,Other,Total: Dog,Black (or Black British),297.0
Dog deployed,Total England and Wales,Other,Dog: deployed,Black (or Black British),214.0
Dog bite,Total England and Wales,Other,Dog: bite,Black (or Black British),80.0
Not stated dog,Total England and Wales,Other,Dog: not stated,Black (or Black British),3.0
Other / improvised,Total England and Wales,Other,Other / improvised,Black (or Black British),3060.0
*Total Not reported,Total England and Wales,Not reported,Total: Not reported,Black (or Black British),93.0
Tactical communication,Total England and Wales,Excluded: Tactical Communication,Tactical Communication,Black (or Black British),24693.0
*Total Tactics,Avon & Somerset,Total,Total: all,Black (or Black British),1521.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,Black (or Black British),904.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,Black (or Black British),654.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,Black (or Black British),376.0
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,Black (or Black British),278.0
Not stated handcuffing,Avon & Somerset,Restraint,Handcuffing: not stated,Black (or Black British),0.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,Black (or Black British),37.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,Black (or Black British),213.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,Black (or Black British),327.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,Black (or Black British),154.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,Black (or Black British),10.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,Black (or Black British),4.0
Baton used,Avon & Somerset,Other equipment,Baton: used,Black (or Black British),6.0
Not stated baton,Avon & Somerset,Other equipment,Baton: not stated,Black (or Black British),0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,Black (or Black British),118.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,Black (or Black British),60.0
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,Black (or Black British),58.0
Not stated irritant spray,Avon & Somerset,Other equipment,Irritant spray: not stated,Black (or Black British),0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,Black (or Black British),25.0
Shield,Avon & Somerset,Other equipment,Shield,Black (or Black British),1.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,Black (or Black British),96.0
CED,Avon & Somerset,Less lethal weapons,CED,Black (or Black British),91.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,Black (or Black British),5.0
AEP aimed,Avon & Somerset,Less lethal weapons,AEP: Aimed,Black (or Black British),5.0
AEP fired,Avon & Somerset,Less lethal weapons,AEP: Fired,Black (or Black British),0.0
Not stated AEP,Avon & Somerset,Less lethal weapons,AEP: Not stated,Black (or Black British),0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,Black (or Black British),10.0
*Total Other,Avon & Somerset,Other,Total: Other,Black (or Black British),30.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,Black (or Black British),5.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,Black (or Black British),3.0
Dog bite,Avon & Somerset,Other,Dog: bite,Black (or Black British),2.0
Not stated dog,Avon & Somerset,Other,Dog: not stated,Black (or Black British),0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,Black (or Black British),25.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,Black (or Black British),0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,Black (or Black British),764.0
*Total Tactics,Bedfordshire,Total,Total: all,Black (or Black British),960.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,Black (or Black British),538.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,Black (or Black British),384.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,Black (or Black British),191.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,Black (or Black British),193.0
Not stated handcuffing,Bedfordshire,Restraint,Handcuffing: not stated,Black (or Black British),0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,Black (or Black British),63.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,Black (or Black British),91.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,Black (or Black British),253.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,Black (or Black British),82.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,Black (or Black British),18.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,Black (or Black British),12.0
Baton used,Bedfordshire,Other equipment,Baton: used,Black (or Black British),6.0
Not stated baton,Bedfordshire,Other equipment,Baton: not stated,Black (or Black British),0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,Black (or Black British),53.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,Black (or Black British),30.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,Black (or Black British),23.0
Not stated irritant spray,Bedfordshire,Other equipment,Irritant spray: not stated,Black (or Black British),0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,Black (or Black British),9.0
Shield,Bedfordshire,Other equipment,Shield,Black (or Black British),2.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,Black (or Black British),59.0
CED,Bedfordshire,Less lethal weapons,CED,Black (or Black British),58.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,Black (or Black British),1.0
AEP aimed,Bedfordshire,Less lethal weapons,AEP: Aimed,Black (or Black British),1.0
AEP fired,Bedfordshire,Less lethal weapons,AEP: Fired,Black (or Black British),0.0
Not stated AEP,Bedfordshire,Less lethal weapons,AEP: Not stated,Black (or Black British),0.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,Black (or Black British),3.0
*Total Other,Bedfordshire,Other,Total: Other,Black (or Black British),25.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,Black (or Black British),2.0
Dog deployed,Bedfordshire,Other,Dog: deployed,Black (or Black British),1.0
Dog bite,Bedfordshire,Other,Dog: bite,Black (or Black British),1.0
Not stated dog,Bedfordshire,Other,Dog: not stated,Black (or Black British),0.0
Other / improvised,Bedfordshire,Other,Other / improvised,Black (or Black British),23.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,Black (or Black British),5.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,Black (or Black British),517.0
*Total Tactics,Cambridgeshire,Total,Total: all,Black (or Black British),438.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,Black (or Black British),230.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,Black (or Black British),173.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,Black (or Black British),93.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,Black (or Black British),80.0
Not stated handcuffing,Cambridgeshire,Restraint,Handcuffing: not stated,Black (or Black British),0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,Black (or Black British),12.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,Black (or Black British),45.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,Black (or Black British),116.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,Black (or Black British),51.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,Black (or Black British),7.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,Black (or Black British),6.0
Baton used,Cambridgeshire,Other equipment,Baton: used,Black (or Black British),1.0
Not stated baton,Cambridgeshire,Other equipment,Baton: not stated,Black (or Black British),0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,Black (or Black British),32.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,Black (or Black British),19.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,Black (or Black British),13.0
Not stated irritant spray,Cambridgeshire,Other equipment,Irritant spray: not stated,Black (or Black British),0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,Black (or Black British),8.0
Shield,Cambridgeshire,Other equipment,Shield,Black (or Black British),4.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,Black (or Black British),20.0
CED,Cambridgeshire,Less lethal weapons,CED,Black (or Black British),19.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,Black (or Black British),1.0
AEP aimed,Cambridgeshire,Less lethal weapons,AEP: Aimed,Black (or Black British),0.0
AEP fired,Cambridgeshire,Less lethal weapons,AEP: Fired,Black (or Black British),0.0
Not stated AEP,Cambridgeshire,Less lethal weapons,AEP: Not stated,Black (or Black British),1.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,Black (or Black British),2.0
*Total Other,Cambridgeshire,Other,Total: Other,Black (or Black British),19.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,Black (or Black British),1.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,Black (or Black British),1.0
Dog bite,Cambridgeshire,Other,Dog: bite,Black (or Black British),0.0
Not stated dog,Cambridgeshire,Other,Dog: not stated,Black (or Black British),0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,Black (or Black British),18.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,Black (or Black British),3.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,Black (or Black British),236.0
*Total Tactics,Cheshire,Total,Total: all,Black (or Black British),305.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,Black (or Black British),250.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,Black (or Black British),171.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,Black (or Black British),111.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,Black (or Black British),60.0
Not stated handcuffing,Cheshire,Restraint,Handcuffing: not stated,Black (or Black British),0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,Black (or Black British),9.0
Ground restraint,Cheshire,Restraint,Ground restraint,Black (or Black British),70.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,Black (or Black British),27.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,Black (or Black British),19.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,Black (or Black British),0.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,Black (or Black British),0.0
Baton used,Cheshire,Other equipment,Baton: used,Black (or Black British),0.0
Not stated baton,Cheshire,Other equipment,Baton: not stated,Black (or Black British),0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,Black (or Black British),18.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,Black (or Black British),3.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,Black (or Black British),15.0
Not stated irritant spray,Cheshire,Other equipment,Irritant spray: not stated,Black (or Black British),0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,Black (or Black British),1.0
Shield,Cheshire,Other equipment,Shield,Black (or Black British),0.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,Black (or Black British),9.0
CED,Cheshire,Less lethal weapons,CED,Black (or Black British),9.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,Black (or Black British),0.0
AEP aimed,Cheshire,Less lethal weapons,AEP: Aimed,Black (or Black British),0.0
AEP fired,Cheshire,Less lethal weapons,AEP: Fired,Black (or Black British),0.0
Not stated AEP,Cheshire,Less lethal weapons,AEP: Not stated,Black (or Black British),0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,Black (or Black British),0.0
*Total Other,Cheshire,Other,Total: Other,Black (or Black British),0.0
"Dog use, of which",Cheshire,Other,Total: Dog,Black (or Black British),0.0
Dog deployed,Cheshire,Other,Dog: deployed,Black (or Black British),0.0
Dog bite,Cheshire,Other,Dog: bite,Black (or Black British),0.0
Not stated dog,Cheshire,Other,Dog: not stated,Black (or Black British),0.0
Other / improvised,Cheshire,Other,Other / improvised,Black (or Black British),0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,Black (or Black British),0.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,Black (or Black British),101.0
*Total Tactics,City of London,Total,Total: all,Black (or Black British),716.0
*Total Restraint,City of London,Restraint,Total: Restraint,Black (or Black British),429.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,Black (or Black British),381.0
